[2025-10-20T16:31:57.235+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-20T16:31:57.262+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T16:30:00+00:00 [queued]>
[2025-10-20T16:31:57.272+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T16:30:00+00:00 [queued]>
[2025-10-20T16:31:57.275+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-20T16:31:57.288+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-20 16:30:00+00:00
[2025-10-20T16:31:57.297+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-20T16:30:00+00:00', '--job-id', '85', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpmizi53dj']
[2025-10-20T16:31:57.300+0000] {standard_task_runner.py:91} INFO - Job 85: Subtask download_minio
[2025-10-20T16:31:57.300+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=8355) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-20T16:31:57.302+0000] {standard_task_runner.py:64} INFO - Started process 8369 to run task
[2025-10-20T16:31:57.381+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T16:30:00+00:00 [running]> on host 2afad6b2767c
[2025-10-20T16:31:57.494+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T16:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-20T16:30:00+00:00'
[2025-10-20T16:31:57.496+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-20T16:31:57.853+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967513.json -> /tmp/minio_downloads/1760967513.json
[2025-10-20T16:31:57.861+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967524.json -> /tmp/minio_downloads/1760967524.json
[2025-10-20T16:31:57.869+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967536.json -> /tmp/minio_downloads/1760967536.json
[2025-10-20T16:31:57.878+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967547.json -> /tmp/minio_downloads/1760967547.json
[2025-10-20T16:31:57.885+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967559.json -> /tmp/minio_downloads/1760967559.json
[2025-10-20T16:31:57.894+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967570.json -> /tmp/minio_downloads/1760967570.json
[2025-10-20T16:31:57.903+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967581.json -> /tmp/minio_downloads/1760967581.json
[2025-10-20T16:31:57.911+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967593.json -> /tmp/minio_downloads/1760967593.json
[2025-10-20T16:31:57.920+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967604.json -> /tmp/minio_downloads/1760967604.json
[2025-10-20T16:31:57.928+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967616.json -> /tmp/minio_downloads/1760967616.json
[2025-10-20T16:31:57.936+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967627.json -> /tmp/minio_downloads/1760967627.json
[2025-10-20T16:31:57.945+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967639.json -> /tmp/minio_downloads/1760967639.json
[2025-10-20T16:31:57.957+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967650.json -> /tmp/minio_downloads/1760967650.json
[2025-10-20T16:31:57.967+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967662.json -> /tmp/minio_downloads/1760967662.json
[2025-10-20T16:31:57.978+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967674.json -> /tmp/minio_downloads/1760967674.json
[2025-10-20T16:31:57.989+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967685.json -> /tmp/minio_downloads/1760967685.json
[2025-10-20T16:31:57.999+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967697.json -> /tmp/minio_downloads/1760967697.json
[2025-10-20T16:31:58.010+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967709.json -> /tmp/minio_downloads/1760967709.json
[2025-10-20T16:31:58.021+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967720.json -> /tmp/minio_downloads/1760967720.json
[2025-10-20T16:31:58.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967731.json -> /tmp/minio_downloads/1760967731.json
[2025-10-20T16:31:58.040+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967743.json -> /tmp/minio_downloads/1760967743.json
[2025-10-20T16:31:58.047+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967754.json -> /tmp/minio_downloads/1760967754.json
[2025-10-20T16:31:58.055+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967766.json -> /tmp/minio_downloads/1760967766.json
[2025-10-20T16:31:58.062+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967778.json -> /tmp/minio_downloads/1760967778.json
[2025-10-20T16:31:58.069+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967789.json -> /tmp/minio_downloads/1760967789.json
